Book Name,Author,Year,Book ID
handbook on fisheries statistics - 2018,ministry of fisheries,2019,81622dec-e99b-4793-9221-db091893e340
"savarkar: echoes from a forgotten past, 1883-1924",vikram sampath,2019,27f14823-cdc9-4e1c-8d95-ab6bc795e25b
glorious diaspora-pride of india,indian diaspora club,2019,a73ed6b5-6ea4-4822-a48e-35f2f04e5bcb
first they erased our name: a rohingya speaks,"habiburahman, sophie ansel",2019,df5e04f6-b3c6-4273-b2fe-0d68aef519bf
obama: the call of history,peter baker,2019,b6d36238-5617-4595-8048-1f180f11c1fc
kashmir’s untold story: declassification,iqbal chand malhotra and maroof raza,2019,c8fee170-940f-4925-a72d-fae04025e482
“sridevi: girl woman superstar”,satyarth nayak,2019,b167be24-3852-4c1f-9b2c-d85655037e00
manav,department of biotechnology (dbt) and persistent systems,2019,f7cc251f-344f-41ac-8318-b792e72ab3ff
‘the commonwealth at 70: from westminster to the world’,st james house and the history of parliament trust,2019,e08fd028-2324-4cdd-ba80-e323c4cf28b1
vivekadeepini,adi shankaracharya,2019,725bda88-5e39-44b2-bb4e-8e51caa8d888
"listening, learning and leading",venkaiah naidu,2019,515b85bb-bc09-4009-9c3d-f9811741e808
"'my life, my mission'",baba ramdev,2019,7b5802a5-eb2e-4ecd-9a22-4bc69cbac922
'the new delhi conspiracy',meenakshi lekhi,2019,ae1b283b-a5fd-48be-a819-b31eb5cce913
‘the diary of manu gandhi’,tridip suhrud,2019,bcb25f79-397f-4576-b585-36924ea3b424
"""a prime minister to remember- memories of a military chief""",sushil kumar,2019,da541635-364a-4c1d-b7cf-8e034a82c33f
vivekadeepini,adi shankaracharya,2019,2238608b-5c9a-4d0b-81cf-d5a2030950a4
“lessons life taught me unknowingly”.,anupam kher,2019,7d6cab49-32e7-4078-9be0-df0dbacf2124
“cricket world cup: the indian challenge”,ashis ray,2019,aa337718-488b-4aca-96cf-722d205099da
my journey,dr. a.p.j. abdul kalam,2019,16c3a66d-95bf-49b7-a7eb-480f4b7ec0a1
making of new india,dr. bibek debroy,2019,2c682b3c-7476-4ae4-b9d3-4ca9d7a6190a
"""whispers of time""",dr. krishna saksena,2019,2e2c69be-30f8-4e53-8ff6-df0f7e9805be
